ID,Codi_Districte,Nom_Districte,Situación laboral
23,1,Ciutat Vella,Desempleado
836,1,Ciutat Vella,Desempleado
1025,1,Ciutat Vella,Desempleado
1072,1,Ciutat Vella,Desempleado
1174,1,Ciutat Vella,Desempleado
1176,1,Ciutat Vella,Desempleado
1756,1,Ciutat Vella,Desempleado
1962,1,Ciutat Vella,Desempleado
1993,1,Ciutat Vella,Desempleado
2016,1,Ciutat Vella,Desempleado
2936,1,Ciutat Vella,Desempleado
3364,1,Ciutat Vella,Desempleado
3865,1,Ciutat Vella,Desempleado
4035,1,Ciutat Vella,Desempleado
4169,1,Ciutat Vella,Desempleado
4254,1,Ciutat Vella,Desempleado
4439,1,Ciutat Vella,Desempleado
4954,1,Ciutat Vella,Desempleado
5127,1,Ciutat Vella,Desempleado
5310,1,Ciutat Vella,Desempleado
5570,1,Ciutat Vella,Desempleado
6015,1,Ciutat Vella,Desempleado
6446,1,Ciutat Vella,Desempleado
6524,1,Ciutat Vella,Desempleado
6573,1,Ciutat Vella,Desempleado
6615,1,Ciutat Vella,Desempleado
13,1,Ciutat Vella,Ocupado
325,1,Ciutat Vella,Ocupado
398,1,Ciutat Vella,Ocupado
767,1,Ciutat Vella,Ocupado
932,1,Ciutat Vella,Ocupado
937,1,Ciutat Vella,Ocupado
958,1,Ciutat Vella,Ocupado
992,1,Ciutat Vella,Ocupado
994,1,Ciutat Vella,Ocupado
1017,1,Ciutat Vella,Ocupado
1049,1,Ciutat Vella,Ocupado
1092,1,Ciutat Vella,Ocupado
1124,1,Ciutat Vella,Ocupado
1146,1,Ciutat Vella,Ocupado
1173,1,Ciutat Vella,Ocupado
1350,1,Ciutat Vella,Ocupado
1435,1,Ciutat Vella,Ocupado
1496,1,Ciutat Vella,Ocupado
1573,1,Ciutat Vella,Ocupado
1684,1,Ciutat Vella,Ocupado
1704,1,Ciutat Vella,Ocupado
1774,1,Ciutat Vella,Ocupado
1788,1,Ciutat Vella,Ocupado
1878,1,Ciutat Vella,Ocupado
1939,1,Ciutat Vella,Ocupado
1974,1,Ciutat Vella,Ocupado
1978,1,Ciutat Vella,Ocupado
2046,1,Ciutat Vella,Ocupado
2053,1,Ciutat Vella,Ocupado
2082,1,Ciutat Vella,Ocupado
2152,1,Ciutat Vella,Ocupado
2792,1,Ciutat Vella,Ocupado
2796,1,Ciutat Vella,Ocupado
3035,1,Ciutat Vella,Ocupado
3153,1,Ciutat Vella,Ocupado
3501,1,Ciutat Vella,Ocupado
3547,1,Ciutat Vella,Ocupado
3791,1,Ciutat Vella,Ocupado
3833,1,Ciutat Vella,Ocupado
3924,1,Ciutat Vella,Ocupado
4097,1,Ciutat Vella,Ocupado
4100,1,Ciutat Vella,Ocupado
4146,1,Ciutat Vella,Ocupado
4192,1,Ciutat Vella,Ocupado
4497,1,Ciutat Vella,Ocupado
4503,1,Ciutat Vella,Ocupado
4623,1,Ciutat Vella,Ocupado
4675,1,Ciutat Vella,Ocupado
4798,1,Ciutat Vella,Ocupado
4868,1,Ciutat Vella,Ocupado
5041,1,Ciutat Vella,Ocupado
5109,1,Ciutat Vella,Ocupado
5111,1,Ciutat Vella,Ocupado
5225,1,Ciutat Vella,Ocupado
5250,1,Ciutat Vella,Ocupado
5390,1,Ciutat Vella,Ocupado
5395,1,Ciutat Vella,Ocupado
5403,1,Ciutat Vella,Ocupado
5437,1,Ciutat Vella,Ocupado
5488,1,Ciutat Vella,Ocupado
5612,1,Ciutat Vella,Ocupado
5665,1,Ciutat Vella,Ocupado
5693,1,Ciutat Vella,Ocupado
5747,1,Ciutat Vella,Ocupado
5954,1,Ciutat Vella,Ocupado
5987,1,Ciutat Vella,Ocupado
6189,1,Ciutat Vella,Ocupado
6455,1,Ciutat Vella,Ocupado
6458,1,Ciutat Vella,Ocupado
6554,1,Ciutat Vella,Ocupado
6601,1,Ciutat Vella,Ocupado
6614,1,Ciutat Vella,Ocupado
6634,1,Ciutat Vella,Ocupado
6722,1,Ciutat Vella,Ocupado
6963,1,Ciutat Vella,Ocupado
7171,1,Ciutat Vella,Ocupado
7331,1,Ciutat Vella,Ocupado
342,1,Ciutat Vella,Otras_situaciones
399,1,Ciutat Vella,Otras_situaciones
406,1,Ciutat Vella,Otras_situaciones
498,1,Ciutat Vella,Otras_situaciones
540,1,Ciutat Vella,Otras_situaciones
557,1,Ciutat Vella,Otras_situaciones
613,1,Ciutat Vella,Otras_situaciones
647,1,Ciutat Vella,Otras_situaciones
679,1,Ciutat Vella,Otras_situaciones
688,1,Ciutat Vella,Otras_situaciones
863,1,Ciutat Vella,Otras_situaciones
1046,1,Ciutat Vella,Otras_situaciones
1395,1,Ciutat Vella,Otras_situaciones
1396,1,Ciutat Vella,Otras_situaciones
1518,1,Ciutat Vella,Otras_situaciones
1632,1,Ciutat Vella,Otras_situaciones
1680,1,Ciutat Vella,Otras_situaciones
1852,1,Ciutat Vella,Otras_situaciones
1883,1,Ciutat Vella,Otras_situaciones
2493,1,Ciutat Vella,Otras_situaciones
2748,1,Ciutat Vella,Otras_situaciones
3255,1,Ciutat Vella,Otras_situaciones
3435,1,Ciutat Vella,Otras_situaciones
4025,1,Ciutat Vella,Otras_situaciones
5438,1,Ciutat Vella,Otras_situaciones
5831,1,Ciutat Vella,Otras_situaciones
6352,1,Ciutat Vella,Otras_situaciones
6737,1,Ciutat Vella,Otras_situaciones
6904,1,Ciutat Vella,Otras_situaciones
7334,1,Ciutat Vella,Otras_situaciones
5,2,Eixample,Desempleado
640,2,Eixample,Desempleado
814,2,Eixample,Desempleado
905,2,Eixample,Desempleado
957,2,Eixample,Desempleado
989,2,Eixample,Desempleado
1391,2,Eixample,Desempleado
1460,2,Eixample,Desempleado
1488,2,Eixample,Desempleado
1614,2,Eixample,Desempleado
1917,2,Eixample,Desempleado
2060,2,Eixample,Desempleado
2102,2,Eixample,Desempleado
2312,2,Eixample,Desempleado
3334,2,Eixample,Desempleado
3540,2,Eixample,Desempleado
3858,2,Eixample,Desempleado
4028,2,Eixample,Desempleado
4202,2,Eixample,Desempleado
4261,2,Eixample,Desempleado
4421,2,Eixample,Desempleado
4875,2,Eixample,Desempleado
5262,2,Eixample,Desempleado
5318,2,Eixample,Desempleado
5716,2,Eixample,Desempleado
5800,2,Eixample,Desempleado
5807,2,Eixample,Desempleado
6504,2,Eixample,Desempleado
6632,2,Eixample,Desempleado
6723,2,Eixample,Desempleado
6743,2,Eixample,Desempleado
6987,2,Eixample,Desempleado
18,2,Eixample,Ocupado
90,2,Eixample,Ocupado
93,2,Eixample,Ocupado
145,2,Eixample,Ocupado
201,2,Eixample,Ocupado
238,2,Eixample,Ocupado
240,2,Eixample,Ocupado
251,2,Eixample,Ocupado
252,2,Eixample,Ocupado
314,2,Eixample,Ocupado
331,2,Eixample,Ocupado
378,2,Eixample,Ocupado
397,2,Eixample,Ocupado
428,2,Eixample,Ocupado
430,2,Eixample,Ocupado
499,2,Eixample,Ocupado
521,2,Eixample,Ocupado
549,2,Eixample,Ocupado
551,2,Eixample,Ocupado
582,2,Eixample,Ocupado
666,2,Eixample,Ocupado
699,2,Eixample,Ocupado
709,2,Eixample,Ocupado
751,2,Eixample,Ocupado
849,2,Eixample,Ocupado
910,2,Eixample,Ocupado
929,2,Eixample,Ocupado
947,2,Eixample,Ocupado
950,2,Eixample,Ocupado
983,2,Eixample,Ocupado
988,2,Eixample,Ocupado
1018,2,Eixample,Ocupado
1031,2,Eixample,Ocupado
1044,2,Eixample,Ocupado
1054,2,Eixample,Ocupado
1083,2,Eixample,Ocupado
1131,2,Eixample,Ocupado
1193,2,Eixample,Ocupado
1207,2,Eixample,Ocupado
1262,2,Eixample,Ocupado
1286,2,Eixample,Ocupado
1287,2,Eixample,Ocupado
1332,2,Eixample,Ocupado
1373,2,Eixample,Ocupado
1394,2,Eixample,Ocupado
1438,2,Eixample,Ocupado
1453,2,Eixample,Ocupado
1477,2,Eixample,Ocupado
1572,2,Eixample,Ocupado
1599,2,Eixample,Ocupado
1603,2,Eixample,Ocupado
1606,2,Eixample,Ocupado
1625,2,Eixample,Ocupado
1634,2,Eixample,Ocupado
1679,2,Eixample,Ocupado
1699,2,Eixample,Ocupado
1746,2,Eixample,Ocupado
1768,2,Eixample,Ocupado
1779,2,Eixample,Ocupado
1806,2,Eixample,Ocupado
1838,2,Eixample,Ocupado
1885,2,Eixample,Ocupado
1891,2,Eixample,Ocupado
1956,2,Eixample,Ocupado
2012,2,Eixample,Ocupado
2110,2,Eixample,Ocupado
2124,2,Eixample,Ocupado
2133,2,Eixample,Ocupado
2149,2,Eixample,Ocupado
2161,2,Eixample,Ocupado
2184,2,Eixample,Ocupado
2233,2,Eixample,Ocupado
2242,2,Eixample,Ocupado
2260,2,Eixample,Ocupado
2336,2,Eixample,Ocupado
2344,2,Eixample,Ocupado
2413,2,Eixample,Ocupado
2443,2,Eixample,Ocupado
2548,2,Eixample,Ocupado
2553,2,Eixample,Ocupado
2554,2,Eixample,Ocupado
2625,2,Eixample,Ocupado
2661,2,Eixample,Ocupado
2665,2,Eixample,Ocupado
2705,2,Eixample,Ocupado
2783,2,Eixample,Ocupado
2836,2,Eixample,Ocupado
2848,2,Eixample,Ocupado
2886,2,Eixample,Ocupado
2901,2,Eixample,Ocupado
2943,2,Eixample,Ocupado
3041,2,Eixample,Ocupado
3080,2,Eixample,Ocupado
3119,2,Eixample,Ocupado
3159,2,Eixample,Ocupado
3196,2,Eixample,Ocupado
3197,2,Eixample,Ocupado
3279,2,Eixample,Ocupado
3328,2,Eixample,Ocupado
3337,2,Eixample,Ocupado
3408,2,Eixample,Ocupado
3416,2,Eixample,Ocupado
3437,2,Eixample,Ocupado
3464,2,Eixample,Ocupado
3491,2,Eixample,Ocupado
3494,2,Eixample,Ocupado
3520,2,Eixample,Ocupado
3536,2,Eixample,Ocupado
3592,2,Eixample,Ocupado
3600,2,Eixample,Ocupado
3609,2,Eixample,Ocupado
3611,2,Eixample,Ocupado
3687,2,Eixample,Ocupado
3815,2,Eixample,Ocupado
3856,2,Eixample,Ocupado
3859,2,Eixample,Ocupado
3868,2,Eixample,Ocupado
3944,2,Eixample,Ocupado
3969,2,Eixample,Ocupado
3999,2,Eixample,Ocupado
4011,2,Eixample,Ocupado
4083,2,Eixample,Ocupado
4084,2,Eixample,Ocupado
4102,2,Eixample,Ocupado
4174,2,Eixample,Ocupado
4180,2,Eixample,Ocupado
4182,2,Eixample,Ocupado
4197,2,Eixample,Ocupado
4228,2,Eixample,Ocupado
4235,2,Eixample,Ocupado
4249,2,Eixample,Ocupado
4353,2,Eixample,Ocupado
4361,2,Eixample,Ocupado
4388,2,Eixample,Ocupado
4412,2,Eixample,Ocupado
4422,2,Eixample,Ocupado
4442,2,Eixample,Ocupado
4443,2,Eixample,Ocupado
4470,2,Eixample,Ocupado
4474,2,Eixample,Ocupado
4481,2,Eixample,Ocupado
4499,2,Eixample,Ocupado
4510,2,Eixample,Ocupado
4511,2,Eixample,Ocupado
4518,2,Eixample,Ocupado
4556,2,Eixample,Ocupado
4561,2,Eixample,Ocupado
4668,2,Eixample,Ocupado
4698,2,Eixample,Ocupado
4733,2,Eixample,Ocupado
4749,2,Eixample,Ocupado
4758,2,Eixample,Ocupado
4784,2,Eixample,Ocupado
4799,2,Eixample,Ocupado
4822,2,Eixample,Ocupado
4834,2,Eixample,Ocupado
4844,2,Eixample,Ocupado
